Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanixuish
btnResetRightHand,UI,XUi Controls Options,x,,Reset Main Hand,,Haupt Hand zurücksetzen,,,,,,Resetuj P rękę,,Сбросить Главную Руку,,,,
xuiVROptions,UI,Menu,,,7DVR Options,,7DVR Optionen,,,,,,Opcje 7DVR,,Опции 7DVR,,,,
xui7DVRGeneralSettings,UI,Menu,,,General,,Allgemein,,,,,,Ogólne,,Общие,,,,
xui7DVRCameraSettings,UI,Menu,,,Camera,,Kamera,,,,,,Kamera,,Камера,,,,
xui7DVRControlSettings,UI,Menu,,,Control,,Steuerung,,,,,,Sterowanie,,Управление,,,,
xui7DVRUISettings,UI,Menu,,,UI,,UI,,,,,,Interfejs,,UI,,,,
xui7DVRDebugSettings,UI,Menu,,,Debug,,Debug,,,,,,Debugowanie,,Отладка,,,,
xui7DVRSupporters,UI,Menu,,,Supporters,,Unterstützer,,,,,,Wspierający,,Поддержка,,,,
xuiShards,UI,Menu,,,UIShards,,UIScherben,,,,,,Shards,,Осколки UI,,,,
xui7DVRControllerMap,UI,Menu,,,Controls Map,,Steuerungskarte,,,,,,Mapa Sterowania,,Карта Управления,,,,
xuiOptionsControlsBitcoinMiner,UI,XUi Controls Options,x,,Bitcoin Miner,,Bitcoin-Miner,,,,,,Bitcoin Miner,,Майнер Биткоинов,,,,
xuiOptionsControlsBitcoinMinerTooltip,UI,XUi Controls Options,x,,Mine bitcoin with spare CPU cycles (just kidding as 7D2D has no spare CPU cycles),,"Mine Bitcoin mit übrigen CPU-Zyklen (nur ein Scherz, da 7D2D keine übrigen CPU-Zyklen hat)",,,,,,Kopie bitcoiny w wolnych cyklach procesora (żartujemy bo 7D2D nie ma wolnych cykli procesora),,"Добывать биткоины с помощью свободных циклов CPU (шутка, у 7D2D нет свободных циклов CPU)",,,,
xuiOptionsControlsWorldPointer_R,UI,XUi Controls Options,x,,WorldPointer_R,,Weltzeiger_R,,,,,,WorldPointer_R,,Указатель_Мира_R,,,,
xuiOptionsControlsWorldPointer_RTooltip,UI,XUi Controls Options,x,,Amount of Red in the world laser pointer,,Menge an Rot im Weltlaserzeiger,,,,,,Ilość Czerwonego we wskaźniku laserowym podczas gry ,,Количество Красного в лазерном указателе мира,,,,
xuiOptionsControlsWorldPointer_G,UI,XUi Controls Options,x,,WorldPointer_G,,Weltzeiger_G,,,,,,WorldPointer_G,,Указатель_Мира_G,,,,
xuiOptionsControlsWorldPointer_GTooltip,UI,XUi Controls Options,x,,Amount of Green in the world laser pointer,,Menge an Grün im Weltlaserzeiger,,,,,,Ilość Zielonego we wskaźniku laserowym podczas gry ,,Количество Зеленого в лазерном указателе мира,,,,
xuiOptionsControlsWorldPointer_B,UI,XUi Controls Options,x,,WorldPointer_B,,Weltzeiger_B,,,,,,WorldPointer_B,,Указатель_Мира_B,,,,
xuiOptionsControlsWorldPointer_BTooltip,UI,XUi Controls Options,x,,Amount of Blue in the world laser pointer,,Menge an Blau im Weltlaserzeiger,,,,,,Ilość Niebieskiego we wskaźniku laserowym podczas gry ,,Количество Синего в лазерном указателе мира,,,,
xuiOptionsControlsWorldPointer_A,UI,XUi Controls Options,x,,WorldPointer_A,,Weltzeiger_A,,,,,,WorldPointer_A,,Указатель_Мира_A,,,,
xuiOptionsControlsWorldPointer_ATooltip,UI,XUi Controls Options,x,,Brightness (Alpha) of the world laser pointer,,Helligkeit (Alpha) des Weltlaserzeigers,,,,,,Jasność (przezroczystość) wskaźnika laserowego podczas gry ,,Яркость (Альфа) лазерного указателя мира,,,,
xuiOptionsControlsMenuPointer_R,UI,XUi Controls Options,x,,MenuPointer_R,,Menüzeiger_R,,,,,,MenuPointer_R,,Указатель_Меню_R,,,,
xuiOptionsControlsMenuPointer_RTooltip,UI,XUi Controls Options,x,,Amount of Red in the Menu laser pointer,,Menge an Rot im Menülaserzeiger,,,,,,Ilość Czerwonego we wskaźniku laserowym w Menu,,Количество Красного в лазерном указателе меню,,,,
xuiOptionsControlsMenuPointer_G,UI,XUi Controls Options,x,,MenuPointer_G,,Menüzeiger_G,,,,,,MenuPointer_G,,Указатель_Меню_G,,,,
xuiOptionsControlsMenuPointer_GTooltip,UI,XUi Controls Options,x,,Amount of Green in the Menu laser pointer,,Menge an Grün im Menülaserzeiger,,,,,,Ilość Zielonego we wskaźniku laserowym w Menu,,Количество Зеленого в лазерном указателе меню,,,,
xuiOptionsControlsMenuPointer_B,UI,XUi Controls Options,x,,MenuPointer_B,,Menüzeiger_B,,,,,,MenuPointer_B,,Указатель_Меню_B,,,,
xuiOptionsControlsMenuPointer_BTooltip,UI,XUi Controls Options,x,,Amount of Blue in the Menu laser pointer,,Menge an Blau im Menülaserzeiger,,,,,,Ilość Niebieskiego we wskaźniku laserowym w Menu,,Количество Синего в лазерном указателе меню,,,,
xuiOptionsControlsMenuPointer_A,UI,XUi Controls Options,x,,MenuPointer_A,,Menüzeiger_A,,,,,,MenuPointer_A,,Указатель_Меню_A,,,,
xuiOptionsControlsMenuPointer_ATooltip,UI,XUi Controls Options,x,,Brightness (Alpha) of the Menu laser pointer,,Helligkeit (Alpha) des Menülaserzeigers,,,,,,Jasność (przezroczystość) wskaźnika laserowego w Menu,,Яркость (Альфа) лазерного указателя Меню,,,,


